"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dbce7bb-bb6e-4a3b-8121-ff262b717c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","OgamingLoL","42957450","10005","31005","4291","465382","1622","2132349","true","false","French","OgamingLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","25","Rubius","42897390","1230","74017","36096","3363081","58297","1114267","true","false","Spanish","Rubius"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bac52366-77d8-462a-8263-eb154b5e91c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","auronplay","42122325","750","85068","55154","1798221","51006","482285","true","false","Spanish","auronplay"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","27","LIRIK","40250385","2565","30506","15409","2547526","1687","659034","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2470b5c6-a737-4ba6-8987-c28e0ca839e1-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","28","Tfue","39764010","2040","41563","20115","7523789","16515","728947","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6ec93efb-dd01-4651-84a1-e263097de898-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","Lord_Kebun","39553830","3210","18748","12215","365613","2197","388005","true","false","English","Lord_Kebun"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","30","YoDa","37637295","4620","15209","8613","1582958","3801","751705","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d31a80e8-4bdd-44b8-a300-f95ddfc7255e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","DrLupo","36493305","3795","24978","9373","3823268","6007","950122","true","false","English","DrLupo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/59b10cc7-772e-48a9-92df-066e9a35862b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","32","괴물쥐123 (tmxk319)","36180840","3720","20392","9417","208440","38482","628468","true","false","Korean","괴물쥐123 (tmxk319)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c8e83f7-8241-47ce-abbd-438075e95ad4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","33","Quin69","36070755","3480","17054","9708","504100","5385","728187","true","true","English","Quin69"
"https://static-cdn.jtvnw.net/jtv_user_pictures/timthetatman-profile_image-4cb867e7d0af1448-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","34","TimTheTatman","35882085","2880","21474","12358","4270387","8025","658048","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","35","BeyondTheSummit","33630705","9660","47926","3677","878356","3350","1372527","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/21df6206-6be7-4a70-937d-e4853b99c475-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","ESAMarathon","33231015","7560","22132","4647","222240","3846","4721374","true","false","English","ESAMarathon"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6deb8144-ffef-4e5f-81aa-477403546d2b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","ROSHTEIN","32558790","3090","21536","10586","230521","3093","392853","false","true","English","ROSHTEIN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/15cec952-c1ba-4ff8-a79c-53c2fa5bd269-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","38","alanzoka","32549430","2325","24937","14094","2534767","15632","849093","true","false","Portuguese","alanzoka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/saddummy-profile_image-925b92caa01026ae-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","39","서새봄냥 (saddummy)","32482185","4110","16950","7855","556762","1988","842602","true","false","Korean","서새봄냥 (saddummy)"
