,Time,Sender,Sender_type,Content
101,0:02:35,faitesdescreditsetvotez,none,Allez on encourage d'avance les cadres et les JL
102,0:02:35,JLFakemonster,subscriber,jltomyTOMY
103,0:02:37,bytrickz3,none,Sard
104,0:02:38,Zelbou45,none,JL GANG
105,0:02:39,yacinoti,none,QUOI DE MIEUX POUR ENTAMER L’ANNÉE
106,0:02:39,JL_Feezyyy,premium,FORZA JL
107,0:02:40,Eythax,premium,salut
108,0:02:41,StarckLight,subscriber,sardOche sardOche sardOche sardOche
109,0:02:42,ssj3rambo,none,TheIlluminati TheIlluminati TheIlluminati
110,0:02:42,LP_YOKI,none,yo
111,0:02:43,Azaborn,premium,C'est quoi un JL ?
112,0:02:43,zarennwynn_,none,team jbzz
113,0:02:43,shin_gouki97,premium,Salut !
114,0:02:43,con4lex03,none,BONSOIR!
115,0:02:44,JLMaaks,none,jltomySleep jltomySleep
116,0:02:45,Jvek_,subscriber,Salut
117,0:02:46,shamigh,none,HahaSleep
118,0:02:46,jlnisayn,none,@code_nado slt trdc
119,0:02:47,0m3g4__,none,JL GANG
120,0:02:48,zirtex0,none,yo
121,0:02:48,tarento_,none,@razaz8585 va ntm
122,0:02:52,rkzqlf,none,@JLFakemonster oh fake déban moi stp ça fais bientot 2 ans merci jtm kamelOUHOUH
123,0:02:52,bytrickz3,none,Les JL allez en enfer
124,0:02:53,ekiaufour,none,on t'aime auusi
125,0:02:54,yacinoti,none,kamelUltra kamelKcorp kamelUltra kamelUltra kamelKcorp kamelUltra kamelKcorp kamelUltra kamelKcorp kamelUltra kamelKcorp kamelUltra kamelKcorp kamelUltra kamelKcorp kamelUltra kamelKcorp kamelUltra kamelUltra
126,0:02:54,nayrolf23,none,Dites moi si vous êtes JL que je vous bloque surtour
127,0:02:55,code_nado,subscriber,ptdr
128,0:02:55,Tisoin,none,eeee yo
129,0:02:55,jlnisayn,none,<3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3
130,0:02:56,ssj3rambo,none,Squid1 Squid2 Squid3 Squid4
131,0:02:56,said0303,none,bonsoir tout le monde
132,0:02:57,JupiterFR,premium,hello !
133,0:02:57,Zelbou45,none,JL GANGGGG
134,0:02:57,eliesyt,none,Y’a plus de JL que la commu a sard
135,0:02:57,lukastreaming,none,encore ce jeu
136,0:02:58,kibonohira,none,4Head 4Head 4Head
137,0:02:58,JLSparky,none,Wshhh
138,0:02:58,9xthebest,none,JL
139,0:02:58,mIsTeR_yOu,none,Salut sardoche le thème d'aujourdhui c'est le complexe d'infériorité ?
140,0:02:59,Blbl_,none,@Sardoche help; c'est quoi la musique spt ?
141,0:03:00,flambou_,none,les jl dégager ptnn
142,0:03:00,saidaaaa,none,@azaborn job less
143,0:03:01,said0303,none,déjà des centaines de personnes
144,0:03:03,OKLM_Ch3v4l,none,les jl au toilettes
145,0:03:03,Phugo,premium,jltomyJL
146,0:03:03,ssj3rambo,none,KappaPride KappaPride KappaPride KappaPride
147,0:03:03,sandmano,subscriber,sardShh sardShh
148,0:03:04,Saiiavakie,none,LOL
149,0:03:04,Samiar,none,Team AH
150,0:03:04,shinowbi,none,LE DIEU
151,0:03:04,Yazhrod21,subscriber,WSH
152,0:03:05,JLMiko,none,jltomyJL jltomyJL jltomyJL jltomyJL jltomyJL jltomyJL
153,0:03:05,0m3g4__,none,jllll
154,0:03:05,cosmic_tryse,none,Gg d’insulter les jl pfff t tellement bête
155,0:03:05,balutor999,none,Fuck JL
156,0:03:06,jl_zhh,none,JL GANG JL GANG JL GANG JL GANG JL GANG JL GANG JL GANG JL GANG JL GANG JL GANG JL GANG JL GANG JL GANG JL GANG
157,0:03:07,JLAspirateurDeHaine,none,jl
158,0:03:07,kowwby,none,nsySleep nsySleep nsySleep nsySleep nsySleep nsySleep nsySleep nsySleep nsySleep
159,0:03:07,Dalil,none,feuk u jl
160,0:03:07,gamebr3aker3,none,heyyy
161,0:03:07,glneox,none,Le drama le drama le drama
162,0:03:08,jlnisayn,none,LES JL TAIMENT <3 <3 <3 <3 <3
163,0:03:08,maxime3765,none,nsyPigeon
164,0:03:09,Pirrex_,none,Fuck les JL hein
165,0:03:09,Cwuiss,none,Yo
166,0:03:09,0m3g4__,none,JL GANG
167,0:03:09,mehdi96,none,sardouche
168,0:03:10,JLElyes_,none,jltomyJL
169,0:03:10,ethaaaandrwg,none,FUCK KOTEI
170,0:03:10,Voltaaa_,premium,OSCOUR PAS LES JL
171,0:03:11,Johntravelota,premium,HeyGuys
172,0:03:11,kibonohira,none,つ ◕_◕ ༽つ AMENO つ ◕_◕ ༽つつ ◕_◕ ༽つ AMENO つ ◕_◕ ༽つつ ◕_◕ ༽つ AMENO つ ◕_◕ ༽つつ ◕_◕ ༽つ AMENO つ ◕_◕ ༽つつ ◕_◕ ༽つ AMENO つ ◕_◕ ༽つつ ◕_◕ ༽つ AMENO つ ◕_◕ ༽つつ ◕_◕ ༽つ AMENO つ ◕_◕ ༽つつ ◕_◕ ༽つ AMENO つ ◕_◕ ༽つ
173,0:03:12,NolusLeRatonRequin,none,Yo
174,0:03:12,MaagicMonkey,none,sardo tues les JL plz
175,0:03:13,JLSparky,none,jltomyJL jltomyJL jltomyJL
176,0:03:13,tarento_,none,les JL allez vouc coucher bande de tocard
177,0:03:13,KnLnK,subscriber,zrtAllo sardYop
178,0:03:14,Zanarque_,none,Squid1 Squid2 Squid3 Squid4
179,0:03:14,korpiklaani8,subscriber,sardYop sardYop sardYop
180,0:03:15,NaydeeM_,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
181,0:03:15,mIsTeR_yOu,none,nsySleep nsySleep nsySleep vitapvSleep vitapvSleep vitapvSleep nsySleep nsySleep nsySleep nsySleep nsySleep vitapvSleep vitapvSleep vitapvSleep nsySleep nsySleep nsySleep nsySleep nsySleep vitapvSleep vitapvSleep vitapvSleep nsySleep nsySleep nsySleep nsySleep nsySleep vitapvSleep vitapvSleep vitapvSleep nsySleep nsySleep
182,0:03:15,JL_Feezyyy,premium,@bytrickz3 tki
183,0:03:15,eliesyt,none,Haha2020
184,0:03:15,Kurutshi,none,JL ?
185,0:03:15,titilekikiouioui,none,Jl gang
186,0:03:16,jl_sheeta,none,je t'aime
187,0:03:16,mIsTeR_yOu,none,nsySleep nsySleep nsySleep vitapvSleep vitapvSleep vitapvSleep nsySleep nsySleep nsySleep nsySleep nsySleep vitapvSleep vitapvSleep vitapvSleep nsySleep nsySleep nsySleep nsySleep nsySleep vitapvSleep vitapvSleep vitapvSleep nsySleep nsySleep
188,0:03:16,bytrickz3,none,fuck les JL
189,0:03:17,Leorlio,subscriber,JL cet commu d'attardé de 13 ans LUL
190,0:03:18,Sardoche,broadcaster,XD
191,0:03:19,JLFakemonster,subscriber,jltomyTOMY x sardOche
192,0:03:20,Elfyr_,subscriber,BONNE ANNEE
193,0:03:23,Yazhrod21,subscriber,nsyBerk nsyBerk nsyBerk nsyBerk
194,0:03:23,linkseff,subscriber,JL TEAM
195,0:03:24,cmoixavxav,subscriber,C’est quoi ce raid???
196,0:03:25,Yarokin,subscriber,Ptdr bon
197,0:03:26,JLFakemonster,subscriber,XD
198,0:03:27,KnLnK,subscriber,aled
199,0:03:29,Sardoche,broadcaster,sardPff
200,0:03:29,Cocowsome,subscriber,Ouiiiiiiii
201,0:03:30,mantavinx,subscriber,OUI
202,0:03:32,DeusKiwi,subscriber,BlessRNG
203,0:03:34,NaydeeM_,subscriber,Les JL sardAYAYA sardAYAYA
204,0:03:38,Jvek_,subscriber,HahaDoge
205,0:03:39,Shawkdon91,none,Shawkdon91 subscribed with Twitch Prime. They've subscribed for 17 months! 
206,0:03:40,ErielJo,subscriber,aya
207,0:03:42,Derasiel_Wowee,none,Derasiel_WOWEE subscribed with Twitch Prime. They've subscribed for 18 months! 
208,0:03:42,Cocowsome,subscriber,BONNE ANNEEEEE LES BRO
209,0:03:44,Bilelb3192i,subscriber,2020 on arrive en force pour soulever Sigrún !
210,0:03:44,KyrieYN,subscriber,sardFire sardFire sardFire sardFire
211,0:03:45,boudiouuuu,subscriber,hahaha lj les pires
212,0:03:45,Derasiel_Wowee,subscriber,XD
213,0:03:47,ricbail,subscriber,yop tout le monde
214,0:03:49,quinn_p0rnstar,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
215,0:03:51,Mifuknight,subscriber,sardFire sardFire sardFire sardFire sardFire
216,0:03:51,Tagueo,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
217,0:03:52,DeusKiwi,subscriber,Quel bonheur de se reveiller et de voir le tweet de sardo Kappa
218,0:03:53,Yarokin,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
219,0:03:55,Sardoche,broadcaster,sardAYAYA
220,0:03:58,Crash59136_,subscriber,sardFire sardFire sardFire
221,0:03:59,jeanmichleprophete,subscriber,Coucou
222,0:04:00,Derasiel_Wowee,subscriber,XD XDD
223,0:04:00,Azagal258,subscriber,sardAYAYA sardAYAYA
224,0:04:01,Eythax,subscriber,Eythax subscribed with Twitch Prime. 
225,0:04:01,ErielJo,subscriber,sardAYAYA
226,0:04:02,TmaxRR,subscriber,sardAYAYA sardAYAYA sardAYAYA
227,0:04:02,Ayaya_Nakamura,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
228,0:04:02,jeanmichleprophete,subscriber,sardYop sardYop sardYop sardYop
