,Time,Sender,Sender_type,Content
105,0:03:18,Dalkin69,premium,J’suiis en train de bibi du teuteu dans mon reufou là
106,0:03:18,grossteutar,none,c enregistré avec le meême micro que celui du live ?? :o
107,0:03:18,neidoux,none,du trackamnia today ? @Sardoche
108,0:03:20,nikobelic988,none,oh qui voila je
109,0:03:20,didade_,premium,PunchTrees
110,0:03:21,Nivaliis,subscriber,Bien sûr qu’on reconnait y’a des variations mais c’est super sympa :)
111,0:03:22,Chaawie,subscriber,Quel plaisiir
112,0:03:22,saucisse_volante,none,faut que jappelle pole emploi demain
113,0:03:22,Fundalis,subscriber,@geremaillard de ce que j'ai compris oui !
114,0:03:23,Soweq4,premium,LuvUok LuvUok
115,0:03:26,shiito53,none,j'ai juste envie d'avoir 10 ans a nouveau
116,0:03:27,elchapodelsol,none,bonne nuit j'vais dormir avec ce son
117,0:03:27,iBouffeurDeNemsi,none,Minecraft la musique
118,0:03:27,Kambrass,subscriber,Tu nous as inquiété a plus donner de signe de vie après un j'arrive Sardo
119,0:03:28,lemodeste_,none,Mais qui voila-je
120,0:03:31,timolegentil,premium,pour être matinale il faut que j'ai dormi mdr
121,0:03:34,Fonggas_Wowee,subscriber,je m'occupe du champ qui va chercher du bois ?
122,0:03:34,beltek93160,none,Wsh bonne nuit
123,0:03:35,ironeight,none,Bonsoir ami de la nuit
124,0:03:37,Le_maitre_serein,subscriber,Bonjour! C'est quoi ce live qui pop à 5h du mat?
125,0:03:39,elchapodelsol,none,minecraft song
126,0:03:43,geremaillard,none,@fundalis cest stylé
127,0:03:44,UnfallenTV,subscriber,@sardoche Tu viens de te lever ou t’as juste un rythme degueulasse comme nous ?
128,0:03:45,shiiiinka,none,Bonne nuit ptdrrr
129,0:03:48,nispace_,premium,@timolegentil MDR la même
130,0:03:49,Vakyos,subscriber,je go farm le bois; t'as une hache en diam ? @Fonggas
131,0:03:50,ZaxinTV_,none,J'ai envie de dormir 😴
132,0:03:52,Untardosattarde,subscriber,yoooo
133,0:03:53,Ladon1,moderator,@Le_maitre_serein la yeslife
134,0:03:53,Vladilyes,premium,j'aime l'odeur du Sardoche au petit matin bordel ! LUL
135,0:03:54,iBouffeurDeNemsi,none,jvais miner perso
136,0:03:54,maksimmm,subscriber,Amis de la nuit ou amis du matin ?
137,0:03:57,DaeboAkaGod,none,UnfallenTV comme nous? J'me lève.
138,0:03:57,bwhet,none,On attend que le maître de cérémonie !!!
139,0:03:57,nikobelic988,none,bonne nuit ou bonjour?
140,0:03:58,nicooooooooow,none,Le live va durer combien de temps ?
141,0:03:58,Vuulcain,none,Une p'tite playlist de te compos sur Youtube serait appréciable :o
142,0:04:00,bayron57,none,yo
143,0:04:01,90Kilos,none,Et bonsoir!
144,0:04:02,Myzen_,none,trop rapide non ?
145,0:04:07,DYSTROPHlA,none,la technique pour ne pas être en retard est de ne pas dormir les amis !
146,0:04:07,Razenback,none,Sardooche
147,0:04:09,Sardoche,broadcaster,C'est celle que je met sur twitter tout à l'heure
148,0:04:10,Soweq4,premium,@fonggas raaaah les vrais ref
149,0:04:11,Sardoche,broadcaster,qu'en pensez-vous
150,0:04:14,Nephelioon,subscriber,ce passage est plus nuancé que dans l'original wtf
151,0:04:15,saucisse_volante,none,qui a le numéro à pole emploi
152,0:04:17,SomaliPirat1,none,masterclass Sardoche
153,0:04:20,shiito53,none,oui; c'est un oui
154,0:04:20,Fonggas_Wowee,subscriber,World premiere
155,0:04:20,Fundalis,subscriber,@Sardoche c'est propre !
156,0:04:21,shiiiinka,none,C lui qui joue 1000 %%
157,0:04:25,azdragonz,none,wsh
158,0:04:25,Kambrass,subscriber,un peu plus rapide mais propre
159,0:04:28,Timothe0804,none,archi propre
160,0:04:30,Fonggas_Wowee,subscriber,vraiment sympa
161,0:04:30,Porygon__,subscriber,C'est nice
162,0:04:31,PeeeulS,premium,Relaxant de ouf j'suis a deux doigts de jouix
163,0:04:32,PinkPanda6666,none,ps
164,0:04:35,pgx47330,none,salut
165,0:04:35,nicooooooooow,none,Noice
166,0:04:36,klaygan,premium,un bonheur cette musique
167,0:04:36,deyvartv,none,Mmmh
168,0:04:36,idsl29,premium,hey
169,0:04:38,Nephelioon,subscriber,je préfère cette version en vrai
170,0:04:38,nikobelic988,none,ouhhh nice
171,0:04:40,ZaxinTV_,none,incroyable Sard
172,0:04:40,Yurryh,subscriber,@shiiiinka tout en écrivant dans le chat avec ses pieds
173,0:04:40,shiiiinka,none,Grave propreee
174,0:04:41,hippokv4,none,sardAYAYA_HE
175,0:04:42,PinkPanda6666,none,propre
176,0:04:43,unicornmistercupcake,premium,Fais juste un album de reprise entière en fait; qu'est-ce que t'attends ?
177,0:04:45,geremaillard,none,jai envie de full chiale
178,0:04:46,fenekkuu,premium,incr
179,0:04:46,Chaawie,subscriber,Trop beau bordel sardCry
180,0:04:48,90Kilos,none,Noice!
181,0:04:54,Jeren14,subscriber,sardLurk
182,0:04:55,lil_sheep,none,kidadoUenerve kidadoUenerve kidadoUenerve kidadoUenerve
183,0:04:58,shiiiinka,none,Bien évidement @yurryh
184,0:04:58,deyvartv,none,La crème de bonheur je le ressens d'ici
185,0:04:59,Fonggas_Wowee,subscriber,@geremaillard full insane
186,0:04:59,Nephelioon,subscriber,sardAYAYA
187,0:05:00,maksimmm,subscriber,sardCry
188,0:05:01,iBouffeurDeNemsi,none,la moitier des gens qui sont là on pas dormis on est d'accord ?
189,0:05:01,Vuulcain,none,Nous voila détendu
190,0:05:02,clamatiw,none,"""matinale"""
191,0:05:02,Fundalis,subscriber,sahhhhhh sardAYAYA
192,0:05:05,shiito53,none,mrmvTheodule mrmvTheodule mrmvTheodule
193,0:05:05,UnfallenTV,subscriber,Via purifico au dessus; de loin.
194,0:05:06,saucisse_volante,none,il ferai ma mieux d'essayer de faire une run ou il va plus loin que wolnir
195,0:05:07,Fonggas_Wowee,subscriber,sardYop sardYop sardYop sardYop sardYop
196,0:05:09,axel54490,subscriber,ASMR
197,0:05:09,kurumilol,none,kurumi6Zyra
