,Time,Sender,Sender_type,Content
99,0:04:25,Derasiel_Wowee,subscriber,@Fonggas ouais c'est ce que je dis t'aurais du venir wowe
100,0:04:27,Greg_Lemon,none,re dodoche le bogoss
101,0:04:29,Derasiel_Wowee,subscriber,Wowee
102,0:04:30,Arteni,premium,La Poutre de Griveaux quand même
103,0:04:31,raschor2801,subscriber,sardAYAYA
104,0:04:31,ragna_metsu,moderator,Wowee
105,0:04:32,Fonggas_Wowee,subscriber,ah ouai il y a le premium free sur le banword
106,0:04:39,Florentinow,moderator,sardYop sardYop sardYop
107,0:04:39,Fonggas_Wowee,subscriber,Wowee
108,0:04:41,Derasiel_Wowee,subscriber,@ragna_metsu Wowee /
109,0:04:41,rrom6859,premium,@antimerguez86 le mec d'en marche qui était candidat à la mairie de paris; quelqu'un a divulgué ses échanges avec une meuf (c'était pas sa femme x) )
110,0:04:43,DVINe0,subscriber,Yo
111,0:04:45,blazflyer,premium,GRIVEUX PRESIDENT
112,0:04:48,phutur2,none,ce soir j'hésite entre ma copine et ma maîtresse
113,0:04:49,kitsukaze,none,bonjour
114,0:04:49,Cocoblack93,none,Tu pourras parler moins fort yen a qui essaye de dormir
115,0:04:51,Thiefdawn,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
116,0:04:54,rotgar1er,none,ouiOUI ouiILARIV
117,0:04:55,saltysiana,none,LuvPeekR
118,0:04:56,Fonggas_Wowee,subscriber,allo
119,0:04:58,nagisa_sensei,none,Eeeeh elle est où la maison prêt du lac là?!
120,0:04:58,Derasiel_Wowee,subscriber,ALO
121,0:04:59,latartibranlette,none,le frérot Balckany libre
122,0:05:00,kitsukaze,none,allo
123,0:05:00,wolfendarkist,none,cc
124,0:05:00,LoSiiZe,premium,ALO
125,0:05:00,Typhlosu,none,à l'huile
126,0:05:01,DragiHOP,subscriber,A llo
127,0:05:01,cruore,premium,bjr
128,0:05:03,sSyve,subscriber,bonjour sard
129,0:05:03,Bloodsafe,subscriber,bjr
130,0:05:04,Mannnequins,subscriber,sardAYAYA
131,0:05:04,Nezuko_LoL,subscriber,Allô; bonsoir
132,0:05:05,poutine667dg,none,Sardoche par pitié débloque moi de twitter arobaze youngfugo je t'en supplie debloque moi je t'ai rien fait
133,0:05:07,ahhzbe,none,salot
134,0:05:07,rrom6859,premium,ALLO
135,0:05:07,GrandMechantEpaulard,subscriber,bjr
136,0:05:09,bagougou,none,boujour
137,0:05:09,mrs_cosplay_maniac,premium,salut !
138,0:05:09,wolfendarkist,none,comment sa va ?
139,0:05:10,DemonHunterRaven,none,acastLe acastBruit acastGasm
140,0:05:10,voxill,none,Salut Sardo !
141,0:05:10,VicenteSimplement,none,Ettt rebonjour
142,0:05:11,Swyxe,subscriber,slt
143,0:05:11,antimerguez86,none,@rrom6859 aie aie aie la sueur xD
144,0:05:12,iznek69,none,re
145,0:05:12,nnaviss,subscriber,sardYop
146,0:05:13,Thiefdawn,subscriber,Bonjour o/
147,0:05:13,le_dozzo,none,SALUT BG
148,0:05:15,enjoy_______,subscriber,sardLurk
149,0:05:15,fayvinnn,none,Yooo
150,0:05:17,shidori__,premium,Reee
151,0:05:19,LitillStaralfur26,none,yooo
152,0:05:21,didade_,premium,ouiAYAYA ouiAYAYA ouiAYAYA ouiAYAYA ouiAYAYA
153,0:05:21,Crapps007,subscriber,sardWeeb sardWeeb sardWeeb
154,0:05:21,matt20137,none,Yoyo
155,0:05:21,LeVekI,premium,Yo bg
156,0:05:22,KebabDePoche,none,DZDZ
157,0:05:22,Cocoblack93,none,yooo ptit bg
158,0:05:22,Greg_Lemon,none,t'as desta
159,0:05:23,Foaust,bits,Eeeeeyop les zamis
160,0:05:23,Timothe0804,none,Yooo
161,0:05:24,ariagape,premium,bonjour
162,0:05:25,SK_Sumdeus,premium,re
163,0:05:26,rotgar1er,none,ALLO ?
164,0:05:27,Fonggas_Wowee,subscriber,alors tu niques ton on ou tu fais du juste dance ?
165,0:05:30,Nezuko_LoL,subscriber,@Sardoche T'es mon Valentin? INCROYABLE J'aurais jamais pu croire ça
166,0:05:32,Fonggas_Wowee,subscriber,pb
167,0:05:35,blazflyer,premium,GRIVAUX PRESIDENT SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood
168,0:05:36,VolcomDaman,subscriber,quelqu'un me file 240€ les gars ?
169,0:05:36,MrDialo,subscriber,sardYop
170,0:05:38,ClairDeLune42,premium,vive le weekend
171,0:05:40,Dracco71,none,hello there
172,0:05:42,hjklm_nhnh,none,sardYop sardYop sardYop
173,0:05:42,cigjt,none,go pb sardo
174,0:05:43,kitsukaze,none,ah
175,0:05:45,Mannnequins,subscriber,sardYop
176,0:05:45,Akiyumaa,subscriber,sardYop sardYop sardYop
177,0:05:46,Fonggas_Wowee,subscriber,sardYop
178,0:05:47,wolfendarkist,none,tres bien et toi?
179,0:05:47,Naoan77,none,Clap
180,0:05:48,Zelkys,subscriber,yo; la forme sardoche? tu a vu mon mp twitter a propos de speedons?
181,0:05:48,rosario_rl,none,yo
