,Time,Sender,Sender_type,Content
106,0:02:31,didade_,premium,hello KonCha VoHiYo
107,0:02:31,Necrofeu,none,<3 <3 <3 <3 <3 <3
108,0:02:32,LAZIZ3,subscriber,Saluuuuut
109,0:02:32,JeanLucDu64,none,éyop
110,0:02:32,bagougou,none,YOOOOO
111,0:02:32,sh1shqq,none,hello !
112,0:02:33,Skays97,none,ehhhh salut à toi
113,0:02:33,Kambrass,subscriber,sardYop sardYop sardYop sardYop sardYop
114,0:02:34,Nephelioon,subscriber,sardYop
115,0:02:34,Kwazarn,none,yooooo cava et toi
116,0:02:35,neyykk,none,et c'est sardoche !!
117,0:02:36,razyra,none,23h17 perfect
118,0:02:36,momss38,subscriber,SALUT SARDOCHE COMMENT TU VAS
119,0:02:36,Nongiom,none,@Sardoche Salut mon Sardo VoHiYo
120,0:02:36,artangard,none,cc
121,0:02:37,Zytophile,none,Gold Gold Gold!!!!
122,0:02:37,Shin_J,none,LuvSnooze
123,0:02:38,kumalabriko,none,Va te coucher!!!!
124,0:02:38,linkenparis,premium,salut les boloss
125,0:02:38,SmaartFaune,premium,éééééééééééééé yo
126,0:02:39,hermes____,none,Le 10e
127,0:02:40,leon_reno,none,Salut
128,0:02:40,Cluglos,none,quel plaisir !!!!!!
129,0:02:40,DuxieFamilyFR,none,UHOOOOP
130,0:02:42,Veptimus,subscriber,sardLate
131,0:02:43,ludzs,subscriber,Ouiiiiiiii
132,0:02:44,leboeufbourguignons,subscriber,MDR
133,0:02:44,yespapi007,none,<3 <3 <3
134,0:02:44,Mannnequins,subscriber,rooAYAYA sardAYAYA AYAYA
135,0:02:44,malreen,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
136,0:02:44,Daarsterr,subscriber,pmleekHey pmleekHey pmleekHey
137,0:02:45,SomaliPirat1,none,LUL
138,0:02:45,Yurryh,subscriber,LUL
139,0:02:45,fanfanfaron,premium,il est 19h
140,0:02:46,dallyum,premium,me tue mdrrr
141,0:02:47,IceDREAMY66660,subscriber,MDR
142,0:02:47,RickOwens420,subscriber,c'est la yeslife avec 9h de retard
143,0:02:47,T1sumen,subscriber,finally bonsoir
144,0:02:49,CrIKxS,subscriber,@sarukog sardWeeb bg;t'as win ton bo ?
145,0:02:49,Olaskurte,subscriber,Les bras si musclé
146,0:02:52,Sarukog,moderator,T'es tellement blanc
147,0:02:53,Shin_J,none,LuvOops
148,0:02:54,Zytophile,none,HeyGuys HeyGuys SeemsGood VoteYea
149,0:02:54,TheOgus,subscriber,TheOgus subscribed with Twitch Prime. They've subscribed for 28 months; currently on a 28 month streak! Allez hop c'est juste parti sardAYAYA sardFire
150,0:02:57,qwidam,premium,s u g o i
151,0:02:58,Cluglos,none,kon ichi wa
152,0:02:59,lokh1r,none,Salut Sard le bonheur ce live
153,0:02:59,lapoutrenordik,none,c'est la bonne Yes life ça
154,0:03:00,Veptimus,subscriber,sardAYAYA sardAYAYA sardAYAYA
155,0:03:00,Yurryh,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
156,0:03:00,Crapps007,subscriber,bah nn il est 19h30 sard ?? sardQI
157,0:03:00,Daarsterr,subscriber,sardAYAYA sardAYAYA sardAYAYA
158,0:03:01,didade_,premium,SUGOIIIIIII
159,0:03:02,RickOwens420,subscriber,sardoche si il voyage il est pas décalé
160,0:03:02,xKanshi,premium,lacAYA lacAYA lacAYA lacAYA lacAYA
161,0:03:04,Olaskurte,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
162,0:03:05,Mannnequins,subscriber,sardThink
163,0:03:06,thurst__,subscriber,thurst__ subscribed with Twitch Prime. They've subscribed for 6 months; currently on a 5 month streak! sardYop
164,0:03:07,Lowikk,none,tes hyper stock
165,0:03:08,botmika,none,il est 23h17
166,0:03:08,artangard,none,mdr
167,0:03:09,Kambrass,subscriber,Tu nous as manqué
168,0:03:09,Olaskurte,subscriber,sardAYAYA sardAYAYA
169,0:03:09,JeanLucDu64,none,c'est ça jpense..
170,0:03:10,wilouxsan,subscriber,すごいですね！
171,0:03:10,malreen,subscriber,sardAYAYA sardAYAYA sardAYAYA
172,0:03:11,momss38,subscriber,T'es congestionner bro
173,0:03:12,Sarukog,moderator,@CrIKxS oep ez; 17 euw Vel'Koz en plus Keepo
174,0:03:12,JugemJugemJu,subscriber,congestion
175,0:03:12,Rimnao,none,oui
176,0:03:12,Triestos,subscriber,ouille il est là mais quel homm
177,0:03:13,qwidam,premium,Pompes = bras ?
178,0:03:14,lucie_ism,none,TakeNRG TakeNRG GivePLZ GivePLZ
179,0:03:14,LaDiffusion,none,y'as pas de musique :(
180,0:03:14,Liixxo,none,bonsoir <3
181,0:03:14,mokappan,premium,Je vois pas les bras musclés Kappa
182,0:03:15,Alturnox,none,Sardoche full proteine
183,0:03:16,Jixafy,subscriber,Yo Sardo
184,0:03:16,artangard,none,LuvCool
185,0:03:16,10baaa,subscriber,t'es congestionné sard
186,0:03:16,legrosfaisan_,none,Scleymu
187,0:03:17,alexd24,subscriber,pret pour le marathon
188,0:03:18,mlkmagenta,none,yes life se lit sur son visage
189,0:03:18,SenjuuTwitch,subscriber,salut la commu
190,0:03:21,PikouzZ38,subscriber,good
191,0:03:22,Kambrass,subscriber,T'es encore plus beau
192,0:03:23,Alturnox,none,Alturnox subscribed with Twitch Prime. They've subscribed for 36 months! 
193,0:03:25,Skays97,none,je suis si fatigué
194,0:03:26,mdtweck,premium,bonjour !!!
195,0:03:26,halundaar,none,esperont que les splits fonctionnent maintenant
196,0:03:26,Cluglos,none,sadoche san
197,0:03:26,lucie_ism,none,MercyWing1 MaxLOL MercyWing2
198,0:03:26,leboeufbourguignons,subscriber,on veut de la 1.15 cette fois
199,0:03:27,euryynome,none,Salut salut !
200,0:03:27,gigot_dagneau,none,ca change du tout au tout
201,0:03:28,Sepi0,subscriber,c'est niquel tkt
202,0:03:28,Crapps007,subscriber,la rng au placard ????
203,0:03:29,artangard,none,4Head 4Head 4Head 4Head
204,0:03:30,RND_Oranged,none,Salut
205,0:03:30,michaelouzini,subscriber,t'es beau
206,0:03:30,WarEternal03,subscriber,toujours aussi parfait
207,0:03:32,CrIKxS,subscriber,@sarukog pololo trop chaud wp :D
208,0:03:32,Mannnequins,subscriber,rooHappy
209,0:03:33,dioby492,none,yo tout le monde
210,0:03:34,Narutimalte,premium,le volume mieux réparti à la limite :p
211,0:03:34,CartonOfficiel,none,nande
212,0:03:34,mattol,none,bjour
213,0:03:35,croustibatshow,none,Sard ce soir tu regarde que les bons messages !
214,0:03:35,mrmaxitekeur29,none,salut le Sard comment ça va ?
215,0:03:37,Daarsterr,subscriber,LuvBrownL sardo LuvBrownR
